1001	"BMC Structural Biology"
1002	"BMC Bioinformatics"
1004	"BMC Cell Biology"
1005	"BMC Developmental Biology"
1006	"BMC Evolutionary Biology"
1007	"BMC Genetics"
1008	"BMC Genomics"
1009	"BMC Immunology"
1010	"BMC Microbiology"
1011	"BMC Molecular Biology"
1012	"BMC Neuroscience"
1013	"BMC Pharmacology"
1014	"BMC Plant Biology"
1015	"BMC Biochemistry"
1017	"BMC Biotechnology"
1018	"BMC Chemical Biology"
1019	"BMC Ecology"
1020	"BMC Physiology"
1022	"BMC Veterinary Research"
1023	"BMC Systems Biology"
1024	"BMC Biophysics"
1999	"BMC Biology"
2001	"BMC Anesthesiology"
2002	"BMC Cardiovascular Disorders"
2004	"BMC Dermatology"
2005	"BMC Emergency Medicine"
2006	"BMC Medical Research Methodology"
2007	"BMC Family Practice"
2008	"BMC Gastroenterology"
2009	"BMC Geriatrics"
2010	"BMC Hematology"
2011	"BMC Infectious Diseases"
2013	"BMC Medical Imaging"
2014	"BMC Medical Genetics"
2015	"BMC Nephrology"
2016	"BMC Neurology"
2017	"BMC Medical Physics"
2018	"BMC Pregnancy and Childbirth"
2019	"BMC Cancer"
2020	"BMC Ophthalmology"
2022	"BMC Pediatrics"
2023	"BMC Psychiatry"
2024	"BMC Public Health"
2025	"BMC Pulmonary Medicine"
2026	"BMC Musculoskeletal Disorders"
2027	"BMC Surgery"
2028	"BMC Urology"
2030	"BMC Complementary and Alternative Medicine"
2031	"BMC Clinical Pathology"
2032	"BMC Pharmacology and Toxicology"
2034	"BMC Ear, Nose and Throat Disorders"
2036	"BMC Endocrine Disorders"
2037	"BMC Health Services Research"
2038	"BMC International Health and Human Rights"
2039	"BMC Medical Education"
2040	"BMC Medical Ethics"
2041	"BMC Medical Informatics and Decision Making"
2042	"BMC Nursing"
2043	"BMC Oral Health"
2044	"BMC Palliative Care"
2048	"BMC Women's Health"
2050	"BMC Medical Genomics"
2051	"BMC Psychology"
2981	"BMC Nutrition"
2990	"BMC Sports Science, Medicine and Rehabilitation"
2991	"BMC Obesity"
2999	"BMC Medicine"
3001	"Genome Biology"
3002	"Arthritis Research & Therapy"
3003	"Breast Cancer Research"
3004	"Critical Care"
3005	"Respiratory Research"
3006	"Current Controlled Trials in Cardiovascular Medicine"
3007	"Journal of Biology"
3008	"Genome Medicine"
3009	"Alzheimer's Research & Therapy"
3010	"Stem Cell Research & Therapy"
4001	"BMC News and Views"
4002	"News from The Scientist"
4003	"The Scientist"
4004	"BMC Proceedings"
4005	"BMC Research Notes"
5000	"New Science Press"
5001	"The Cell Cycle: Principles of Control (NSP Primer Topics)"
5002	"Immunity: The Immune Response to Infection (NSP Primer Topics)"
5003	"Protein Structure and Function (NSP Primer Topics)"
5004	"Cell Signaling: An Introduction to the Molecules and Mechanisms of Signal Transduction Pathways (NSP Primer Topics)"
5005	"Genetics: The Functional Analysis of Genomes (NSP Primer Topics)"
5006	"Molecular Biology: Principles of Genome Function (NSP Primer Topics)"
5007	"Cell Signaling: Principles and Mechanisms (NSP Primer Topics)"
5021	"Protein Structure and Function"
5100	"The Cell Cycle: Principles of Control"
5150	"Immunity: The Immune Response in Infectious and Inflammatory Disease"
5200	"Cell Signaling: Principles and Mechanisms"
6001	"Current Allergy and Asthma Reports"
6003	"Current Atherosclerosis Reports"
6004	"Current Cardiology Reports"
6005	"Current Gastroenterology Reports"
6006	"Current Hypertension Reports"
6007	"Current Infectious Disease Reports"
6008	"Current Interventional Cardiology Reports"
6009	"Current Neurology and Neuroscience Reports"
6010	"Current Oncology Reports"
6011	"Current Pain and Headache Reports"
6012	"Current Psychiatry Reports"
6013	"Current Rheumatology Reports"
6014	"Current Urology Reports"
6015	"Current Women's Health Reports"
6016	"Current Diabetes Reports"
6017	"Current Sports Medicine Reports"
6018	"Current Hematology Reports"
6019	"Current Hepatitis Reports"
6020	"Current Treatment Options in Cardiovascular Medicine"
6021	"Current Treatment Options in Gastroenterology"
6022	"Current Treatment Options in Infectious Diseases"
6023	"Current Treatment Options in Neurology"
6024	"Current Treatment Options in Oncology"
6025	"Current Osteoporosis Reports"
6026	"Current Psychosis and Therapeutics Reports"
6027	"Current Heart Failure Reports"
6028	"Current HIV/AIDS Reports"
6029	"Current Sexual Health Reports"
6030	"Current Prostate Reports"
6031	"Current Colorectal Cancer Reports"
7001	"Current Opinion in Molecular Therapeutics"
7002	"IDrugs"
7003	"Current Opinion in Investigational Drugs"
7004	"Current Opinion in Drug Discovery & Development"
7005	"Current Drug Discovery"
9001	"BioMed Central"
9002	"Faculty of 1000 Biology"
9003	"Faculty of 1000 Biology - Contributors"
9004	"Current Controlled Trials"
9005	"BioMed Central Institutional Membership"
9006	"Images.MD"
9007	"BMC Web Databases Catalogue"
9008	"Faculty of 1000 Medicine"
9009	"Faculty of 1000 Medicine - Contributors"
9010	"Faculty of 1000 Medicine - Editors"
9011	"Faculty of 1000 Biology - Editors"
9012	"PhysMath Central"
9013	"Chemistry Central"
9014	"SpringerOpen"
9016	"Cases Database"
9100	"Science Archive"
9101	"Science Archive : John Maynard Smith : My Life in Science"
9102	"Science Archive : Edward Teller : My Life in Science"
9103	"Science Archive : Hans Bethe : My Life in Science"
9105	"Science Archive : Sydney Brenner : My Life in Science"
9200	"PeoplesArchive"
9301	"Cysloop Database"
9302	"Biology Image Library"
10001	"Microbial Cell Factories"
10002	"Cardiovascular Diabetology"
10003	"Kinetoplastid Biology and Disease"
10004	"Annals of General Psychiatry"
10005	"Filaria Journal"
10006	"Cancer Cell International"
10007	"Malaria Journal"
10008	"Directed and Applied Evolution"
10009	"Nutrition Journal"
10010	"BioMedical Engineering OnLine"
10011	"International Journal for Equity in Health"
10012	"Journal of Negative Results in BioMedicine"
10013	"Cell & Chromosome"
10014	"Journal of Experimental Ageing Research"
10015	"eHealth International"
10017	"Annals of Clinical Microbiology and Antimicrobials"
10018	"Environmental Health"
10019	"International Journal of Health Geographics"
10020	"Journal of the Global AIDS Pandemic"
10021	"Molecular Cancer"
10022	"Lipids in Health and Disease"
10023	"Comparative Hepatology"
10024	"Dynamic Medicine"
10025	"Health Technology Assessment and Policy"
10026	"Cardiovascular Ultrasound"
10027	"Journal of Immune Based Therapies and Vaccines"
10028	"Medical Immunology"
10029	"European Journal of Rural Health"
10030	"Clinical and Molecular Allergy"
10031	"BioMagnetic Research and Technology"
10032	"Journal of Inflammation"
10033	"Journal of Nanobiotechnology"
10034	"Food, Water and Environmental Surveillance"
10035	"Harm Reduction Journal"
10036	"World Journal of Surgical Oncology"
10037	"Reproductive Biology and Endocrinology"
10038	"Health and Quality of Life Outcomes"
10039	"Proteome Science"
10040	"Journal of Carcinogenesis"
10041	"International Seminars in Surgical Oncology"
10042	"Thrombosis Journal"
10043	"Nuclear Receptor"
10044	"Cost Effectiveness and Resource Allocation"
10045	"Human Resources for Health"
10046	"Evidence For Health Policy"
10047	"Population Health Metrics"
10048	"Cell Communication and Signaling"
10049	"Health Research Policy and Systems"
10050	"Genetic Vaccines and Therapy"
10051	"Journal of Translational Medicine"
10052	"Journal of Circadian Rhythms"
10053	"International Journal of Behavioral Nutrition and Physical Activity"
10054	"Journal of Autoimmune Diseases"
10055	"Journal of Neuroinflammation"
10056	"Retrovirology"
10057	"Theoretical Biology and Medical Modelling"
10058	"Reproductive Health"
10059	"Epidemiologic Perspectives & Innovations"
10060	"Biomedical Digital Libraries"
10061	"Immunity & Ageing"
10062	"AIDS Research and Therapy"
10063	"CytoJournal"
10064	"Emerging Themes in Epidemiology"
10065	"Journal of NeuroEngineering and Rehabilitation"
10066	"Frontiers in Zoology"
10067	"Virology Journal"
10068	"Journal of Experimental & Clinical Assisted Reproduction"
10069	"Australia and New Zealand Health Policy"
10070	"Nutrition & Metabolism"
10071	"Fluids and Barriers of the CNS"
10072	"Particle and Fibre Toxicology"
10073	"Globalization and Health"
10074	"Molecular Pain"
10075	"Health and the Media"
10076	"Behavioral and Brain Functions"
10077	"Clinical Practice and Epidemiology in Mental Health"
10078	"Biology Direct"
10079	"Biological Knowledge"
10080	"Journal of Occupational Medicine and Toxicology"
10081	"Immunome Research"
10082	"Cough"
10083	"Head & Face Medicine"
10084	"Diagnostic Pathology"
10085	"Journal of Ethnobiology and Ethnomedicine"
10086	"Aquatic Biosystems"
10087	"Chiropractic & Manual Therapies"
10088	"Plant Methods"
10089	"International Breastfeeding Journal"
10090	"Beilstein Journal of Organic Chemistry"
10091	"Cell Division"
10092	"Substance Abuse Treatment, Prevention, and Policy"
10093	"Journal of Biomedical Discovery and Collaboration"
10094	"Philosophy, Ethics, and Humanities in Medicine"
